# -*- coding: utf-8 -*-,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
# A datafile created by Gustav!,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,
# Experiment: fNIRSandGerbils,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,
# Vocoded speech in spatially-separated speech or noise maskers.,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,
# $comments,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
S,Trial,Date,Block,Condition,masker,Soundfile,Ear,Times,,,,,,,,
7002,114,2023-11-02,114,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\scrambled_same_talker\75_scrambled_st.wav,b,2.002,3.616,7.339,8.8,9.482
7002,115,2023-11-02,115,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\unscrambled_diff_talker\78_unscrambled_dt.wav,b,4.571,6.493,7.502,8.885
7002,116,2023-11-02,116,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\scrambled_diff_talker\6_scrambled_dt.wav,b,2.536,7.342,9.813
7002,117,2023-11-02,117,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\scrambled_same_talker\82_scrambled_st.wav,b,4.488,5.641,9.283,10.528
7002,118,2023-11-02,118,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\scrambled_diff_talker\74_scrambled_dt.wav,b,4.495,7.04,11.092
7002,119,2023-11-02,119,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\unscrambled_same_talker\70_unscrambled_st.wav,b,3.406,8.143,9.699
7002,120,2023-11-02,120,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\unscrambled_diff_talker\79_unscrambled_dt.wav,b,2.026,4.406,5.633,8.89,10.667
7002,121,2023-11-02,121,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\scrambled_diff_talker\86_scrambled_dt.wav,b,3.19,4.184,7.814,9.894
7002,122,2023-11-02,122,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\unscrambled_same_talker\73_unscrambled_st.wav,b,4.014,5.03,6.729,9.824,11.829
7002,123,2023-11-02,123,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\scrambled_same_talker\87_scrambled_st.wav,b,2.086,4.002,7.88,9.259,10.484
7002,124,2023-11-02,124,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\unscrambled_diff_talker\7_unscrambled_dt.wav,b,5.333,6.948,10.729,11.722
7002,125,2023-11-02,125,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\unscrambled_same_talker\77_unscrambled_st.wav,b,4.786,6.4,7.002,9.546,10.927
7002,126,2023-11-02,126,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\scrambled_diff_talker\90_scrambled_dt.wav,b,4.393,7.403,9.946
7002,127,2023-11-02,127,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\unscrambled_diff_talker\81_unscrambled_dt.wav,b,2.148,3.221,7.316,11.019
7002,128,2023-11-02,128,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\scrambled_same_talker\89_scrambled_st.wav,b,0.679,3.53,9.408,11.101
7002,129,2023-11-02,129,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\unscrambled_same_talker\80_unscrambled_st.wav,b,2.223,3.681,4.826,6.981,7.901,10.215
7002,130,2023-11-02,130,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\scrambled_same_talker\93_scrambled_st.wav,b,2.691,3.767,12.231
7002,131,2023-11-02,131,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\scrambled_diff_talker\91_scrambled_dt.wav,b,2.564,4.181,9.315,10.47
7002,132,2023-11-02,132,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\unscrambled_diff_talker\83_unscrambled_dt.wav,b,2.479,3.31,4.771,6.543,8.96
7002,133,2023-11-02,133,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\unscrambled_same_talker\85_unscrambled_st.wav,b,3.639,5.033,6.03,8.733,10.046,11.994
7002,134,2023-11-02,134,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\unscrambled_diff_talker\84_unscrambled_dt.wav,b,3.175,5.652,7.733,9.976,12.059
7002,135,2023-11-02,135,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\scrambled_diff_talker\92_scrambled_dt.wav,b,1.71,2.857,5.786,9.194
7002,136,2023-11-02,136,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\scrambled_same_talker\95_scrambled_st.wav,b,2.488,6.052,10.247,11.487
7002,137,2023-11-02,137,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\unscrambled_same_talker\94_unscrambled_st.wav,b,4.7,6.394,7.387,9.156
7002,138,2023-11-02,138,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\scrambled_diff_talker\97_scrambled_dt.wav,b,1.762,2.99,7.269,10.363,11.435,12.056
7002,139,2023-11-02,139,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\unscrambled_diff_talker\88_unscrambled_dt.wav,b,2.388,5.169,6.864,10.428
7002,140,2023-11-02,140,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\scrambled_same_talker\96_scrambled_st.wav,b,1.999,4.223,5.216,9.798,12.431
7002,141,2023-11-02,141,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\unscrambled_same_talker\9_unscrambled_st.wav,b,2.552,4.708,11.534
7002,142,2023-11-02,142,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\scrambled_same_talker\98_scrambled_st.wav,b,4.79,6.264,7.808,9.041
7002,143,2023-11-02,143,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\scrambled_diff_talker\99_scrambled_dt.wav,b,4.882,8.741,10.978
7002,144,2023-11-02,144,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7002\unscrambled_diff_talker\8_unscrambled_dt.wav,b,5.199,8.94,9.861,11.945
7003,1,2023-11-02,1,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\100_scrambled_dt.wav,b,6.363,8.523,9.919
7003,2,2023-11-02,2,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\103_scrambled_st.wav,b,5.186,5.95,7.946,10.644,12.261
7003,3,2023-11-02,3,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\101_unscrambled_dt.wav,b,3.0,4.459,5.455,6.373,8.445,11.302
7003,4,2023-11-02,4,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\106_unscrambled_st.wav,b,4.321,5.492,10.694,11.376
7003,5,2023-11-02,5,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\102_scrambled_dt.wav,b,6.733,8.579,9.801,12.348
7003,6,2023-11-02,6,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\105_scrambled_st.wav,b,2.545,6.331,9.573
7003,7,2023-11-02,7,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\107_unscrambled_dt.wav,b,2.097,3.091,5.423,7.42,9.267
7003,8,2023-11-02,8,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\109_unscrambled_st.wav,b,7.904
7003,9,2023-11-02,9,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\108_scrambled_st.wav,b,1.943,8.596,10.214
7003,10,2023-11-02,10,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\114_unscrambled_st.wav,b,6.286,7.67
7003,11,2023-11-02,11,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\10_unscrambled_dt.wav,b,2.32,6.266,7.334,12.132
7003,12,2023-11-02,12,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\104_scrambled_dt.wav,b,4.28,7.926,10.941
7003,13,2023-11-02,13,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\111_unscrambled_dt.wav,b,4.883,6.813,7.806,9.349
7003,14,2023-11-02,14,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\112_scrambled_st.wav,b,5.667
7003,15,2023-11-02,15,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\116_unscrambled_st.wav,b,2.158,6.419,7.335
7003,16,2023-11-02,16,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\110_scrambled_dt.wav,b,2.16,4.011,10.235,10.997
7003,17,2023-11-02,17,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\11_scrambled_st.wav,b,4.171,5.779,6.694,9.476,12.182
7003,18,2023-11-02,18,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\128_unscrambled_dt.wav,b,3.236,5.927,6.53,9.848,11.324
7003,19,2023-11-02,19,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\118_unscrambled_st.wav,b,1.679,3.136,3.598,5.443,6.666,7.973,9.754,10.355
7003,20,2023-11-02,20,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\113_scrambled_dt.wav,b,2.014,6.716,9.261
7003,21,2023-11-02,21,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\120_unscrambled_st.wav,b,2.072,3.755,8.137,12.323
7003,22,2023-11-02,22,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\121_scrambled_st.wav,b,3.171,7.987,10.786,11.471
7003,23,2023-11-02,23,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\129_unscrambled_dt.wav,b,2.257,3.329,3.927,5.838,6.749,9.848
7003,24,2023-11-02,24,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\115_scrambled_dt.wav,b,5.548,9.715
7003,25,2023-11-02,25,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\125_unscrambled_st.wav,b,5.318,6.156,7.224
7003,26,2023-11-02,26,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\130_unscrambled_dt.wav,b,4.48,5.164,7.547
7003,27,2023-11-02,27,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\122_scrambled_st.wav,b,3.226,10.663,11.653
7003,28,2023-11-02,28,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\117_scrambled_dt.wav,b,2.463,4.392,6.085,10.343
7003,29,2023-11-02,29,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\13_scrambled_st.wav,b,2.781,3.622,9.178
7003,30,2023-11-02,30,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\131_unscrambled_st.wav,b,3.08,4.474,6.864,10.799
7003,31,2023-11-02,31,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\119_scrambled_dt.wav,b,3.002,4.148,11.881
7003,32,2023-11-02,32,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\132_unscrambled_dt.wav,b,2.877,6.069,8.487,11.111
7003,33,2023-11-02,33,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\133_unscrambled_st.wav,b,6.273,7.279,8.27,9.418,10.021
7003,34,2023-11-02,34,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\135_unscrambled_dt.wav,b,4.86,8.255,11.354
7003,35,2023-11-02,35,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\141_scrambled_st.wav,b,6.177,9.805,10.946
7003,36,2023-11-02,36,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\123_scrambled_dt.wav,b,2.853,3.633,5.872,8.657,9.968
7003,37,2023-11-02,37,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\142_unscrambled_dt.wav,b,4.33,9.431,11.44
7003,38,2023-11-02,38,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\15_scrambled_st.wav,b,0.373,1.911,4.216,6.992
7003,39,2023-11-02,39,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\134_unscrambled_st.wav,b,6.721,7.717,8.865
7003,40,2023-11-02,40,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\124_scrambled_dt.wav,b,1.856,3.62,5.081,9.156
7003,41,2023-11-02,41,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\19_scrambled_st.wav,b,2.091,8.671,9.97
7003,42,2023-11-02,42,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\126_scrambled_dt.wav,b,6.273,10.753
7003,43,2023-11-02,43,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\143_unscrambled_dt.wav,b,5.205,7.586,9.747,10.974
7003,44,2023-11-02,44,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\139_unscrambled_st.wav,b,1.864,3.013,5.473,6.694,9.001
7003,45,2023-11-02,45,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\1_scrambled_st.wav,b,4.255,6.643,8.099,9.246,11.95
7003,46,2023-11-02,46,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\144_unscrambled_st.wav,b,4.966,6.509,11.877
7003,47,2023-11-02,47,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\127_scrambled_dt.wav,b,4.581,7.925
7003,48,2023-11-02,48,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\18_unscrambled_dt.wav,b,2.222,6.23,7.606,9.761
7003,49,2023-11-02,49,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\20_scrambled_st.wav,b,6.421,7.333,8.859
7003,50,2023-11-02,50,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\22_unscrambled_dt.wav,b,4.959,5.871
7003,51,2023-11-02,51,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\12_scrambled_dt.wav,b,2.462,3.216,8.321
7003,52,2023-11-02,52,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\16_unscrambled_st.wav,b,3.404,5.176,5.935,6.924,9.009
7003,53,2023-11-02,53,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\136_scrambled_dt.wav,b,3.316,4.077,4.989,7.771,8.39
7003,54,2023-11-02,54,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\26_unscrambled_dt.wav,b,2.1,4.088,7.559,11.338,12.333
7003,55,2023-11-02,55,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\23_unscrambled_st.wav,b,3.769,5.072,6.844
7003,56,2023-11-02,56,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\21_scrambled_st.wav,b,4.791,5.787,6.948,10.442,11.283
7003,57,2023-11-02,57,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\27_unscrambled_dt.wav,b,9.047,10.349
7003,58,2023-11-02,58,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\28_scrambled_st.wav,b,2.86,3.79,5.34
7003,59,2023-11-02,59,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\137_scrambled_dt.wav,b,3.161,5.326,6.241,7.155,9.769
7003,60,2023-11-02,60,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\24_unscrambled_st.wav,b,1.7,7.053,8.2,10.899
7003,61,2023-11-02,61,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\29_scrambled_st.wav,b,4.555,7.195,8.731,11.819
7003,62,2023-11-02,62,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\33_unscrambled_st.wav,b,2.0,5.857,6.689
7003,63,2023-11-02,63,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\30_unscrambled_dt.wav,b,2.492,4.82,7.053,11.297,12.368
7003,64,2023-11-02,64,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\138_scrambled_dt.wav,b,6.971,10.282,11.971
7003,65,2023-11-02,65,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\35_unscrambled_dt.wav,b,3.39,6.548,8.0,10.465
7003,66,2023-11-02,66,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\140_scrambled_dt.wav,b,4.174,6.329,9.341
7003,67,2023-11-02,67,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\36_unscrambled_st.wav,b,5.26,8.918,10.541
7003,68,2023-11-02,68,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\2_scrambled_st.wav,b,6.637,8.488
7003,69,2023-11-02,69,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\38_unscrambled_dt.wav,b,1.918,6.169,8.959,10.103
7003,70,2023-11-02,70,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\37_unscrambled_st.wav,b,6.434,9.361
7003,71,2023-11-02,71,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\32_scrambled_st.wav,b,2.463,5.233,9.864,11.167
7003,72,2023-11-02,72,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\14_scrambled_dt.wav,b,3.225,7.629,11.881,12.411
7003,73,2023-11-02,73,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\40_unscrambled_st.wav,b,5.003,7.545,8.07,8.676,9.123,11.206
7003,74,2023-11-02,74,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\34_scrambled_st.wav,b,3.784,8.427,10.663
7003,75,2023-11-02,75,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\43_unscrambled_dt.wav,b,3.478,4.232,6.545
7003,76,2023-11-02,76,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\17_scrambled_dt.wav,b,2.691,4.154,5.612,7.534
7003,77,2023-11-02,77,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\45_unscrambled_st.wav,b,2.383,5.57,8.339
7003,78,2023-11-02,78,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\25_scrambled_dt.wav,b,6.115,6.811,10.661
7003,79,2023-11-02,79,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\39_scrambled_st.wav,b,7.808,8.877,9.951
7003,80,2023-11-02,80,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\44_unscrambled_dt.wav,b,2.405,5.166,6.399,8.943
7003,81,2023-11-02,81,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\31_scrambled_dt.wav,b,3.084,9.876,11.1
7003,82,2023-11-02,82,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\3_scrambled_st.wav,b,5.127,7.394,9.169,10.951,11.725
7003,83,2023-11-02,83,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\50_unscrambled_dt.wav,b,2.138,3.693,8.801,10.728
7003,84,2023-11-02,84,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\46_unscrambled_st.wav,b,3.85,5.454,6.755,7.759,9.292,10.67
7003,85,2023-11-02,85,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\41_scrambled_dt.wav,b,2.306,3.784,10.907
7003,86,2023-11-02,86,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\48_scrambled_st.wav,b,5.009,5.925,8.468,12.021
7003,87,2023-11-02,87,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\49_unscrambled_st.wav,b,2.709,10.293,10.901
7003,88,2023-11-02,88,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\67_unscrambled_dt.wav,b,1.989,4.757,7.301
7003,89,2023-11-02,89,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\4_unscrambled_st.wav,b,3.163,4.463,8.329,10.426,11.497
7003,90,2023-11-02,90,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\69_unscrambled_dt.wav,b,3.774,6.167,8.727,9.565
7003,91,2023-11-02,91,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\53_scrambled_st.wav,b,1.845,3.16,8.101,9.952
7003,92,2023-11-02,92,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\42_scrambled_dt.wav,b,5.164,5.614,8.152,8.772
7003,93,2023-11-02,93,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\58_scrambled_st.wav,b,8.424,9.422,10.645
7003,94,2023-11-02,94,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\47_scrambled_dt.wav,b,1.92,3.755,10.096
7003,95,2023-11-02,95,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\57_unscrambled_st.wav,b,6.416,10.815
7003,96,2023-11-02,96,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\6_unscrambled_dt.wav,b,7.193
7003,97,2023-11-02,97,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\51_scrambled_dt.wav,b,8.767,9.449,12.146
7003,98,2023-11-02,98,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\60_unscrambled_st.wav,b,2.795,6.5,7.8,10.271
7003,99,2023-11-02,99,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\59_scrambled_st.wav,b,2.081,3.378,3.845,10.186,12.266
7003,100,2023-11-02,100,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\71_unscrambled_dt.wav,b,3.242,4.953,7.12,10.055,11.049
7003,101,2023-11-02,101,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\62_scrambled_st.wav,b,2.55,8.526,12.18
7003,102,2023-11-02,102,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\7_unscrambled_dt.wav,b,2.787,6.271,9.826
7003,103,2023-11-02,103,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\52_scrambled_dt.wav,b,4.281,6.678,7.991,11.085
7003,104,2023-11-02,104,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\66_unscrambled_st.wav,b,3.496,6.582,7.437
7003,105,2023-11-02,105,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\80_unscrambled_dt.wav,b,2.01,2.925,4.865,6.483,9.341
7003,106,2023-11-02,106,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\54_scrambled_dt.wav,b,3.399,4.471,7.021
7003,107,2023-11-02,107,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\63_scrambled_st.wav,b,7.384,8.928,11.248
7003,108,2023-11-02,108,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\68_unscrambled_st.wav,b,2.541,4.949,6.795,12.126
7003,109,2023-11-02,109,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_same_talker\64_scrambled_st.wav,b,2.325,3.39,8.961,11.589
7003,110,2023-11-02,110,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\85_unscrambled_dt.wav,b,2.843,10.586
7003,111,2023-11-02,111,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_same_talker\72_unscrambled_st.wav,b,2.327,4.871,8.123
7003,112,2023-11-02,112,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\scrambled_diff_talker\55_scrambled_dt.wav,b,5.392,8.17
7003,113,2023-11-02,113,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_7003\unscrambled_diff_talker\89_unscrambled_dt.wav,b,5.794,8.258,9.169,11.013
